equity_curve,predicted,actual
2.9765061394115553,buy,buy
2.946708327520388,buy,buy
2.9172088216134564,buy,buy
2.8880046353486577,buy,buy
2.8590928122801684,buy,buy
2.8304704255591533,buy,buy
2.8021345776374695,buy,buy
2.774082399974337,buy,buy
2.7463110527459467,buy,buy
2.7188177245579737,buy,buy
2.6915996321609708,buy,buy
2.664654020168608,buy,buy
2.6379781607787383,buy,buy
2.6115693534972477,buy,buy
2.585424924864679,buy,buy
2.5595422281855837,buy,buy
2.5339186432605914,buy,buy
2.5085515761211536,buy,buy
2.4834384587669502,buy,buy
2.458576748905919,buy,buy
2.4339639296968913,buy,buy
2.409597509494804,buy,buy
2.385475021598459,buy,buy
2.3615940240008118,buy,buy
2.3379520991417575,buy,buy
2.314546853663393,buy,buy
2.291375918167728,buy,buy
2.268436946976823,buy,buy
2.2457276178953274,buy,buy
2.2232456319753946,buy,buy
2.200988713283952,buy,buy
2.1789546086723,buy,buy
2.157141087548018,buy,buy
2.1355459416491516,buy,buy
2.114166984820664,buy,buy
2.0930020527931235,buy,buy
2.072049002963605,buy,buy
2.0513057141787896,buy,buy
2.0307700865202287,buy,buy
2.0104400410917647,buy,buy
1.990313519809075,buy,buy
1.9703884851913256,buy,buy
1.9506629201549097,buy,buy
1.9311348278092502,buy,buy
1.9118022312546472,buy,buy
1.8926631733821502,buy,buy
1.873715716675432,buy,buy
1.854957943014647,buy,buy
1.8363879534822536,buy,buy
1.8180038681707789,buy,buy
1.7998038259925095,buy,buy
1.781785984491087,buy,buy
1.763948519654989,buy,buy
1.7462896257328773,buy,buy
1.7288075150507967,buy,buy
1.7115004178312005,buy,buy
1.6943665820137912,buy,buy
1.6774042730781513,buy,buy
1.6606117738681532,buy,buy
1.6439873844181239,buy,buy
1.6275294217807519,buy,buy
1.6112362198567165,buy,buy
1.5951061292260222,buy,buy
1.5791375169810222,buy,buy
1.5633287665611126,buy,buy
1.547678277589083,buy,buy
1.5321844657091037,buy,buy
1.5168457624263365,buy,buy
1.501660614948149,buy,buy
1.4866274860269213,buy,buy
1.4717448538044233,buy,buy
1.4570112116577527,buy,buy
1.4424250680468134,buy,buy
1.4279849463633214,buy,buy
1.4136893847813234,buy,buy
1.3995369361092094,buy,buy
1.3855261676432093,buy,buy
1.3716556610223547,buy,buy
1.357924012084893,buy,buy
1.344329830726139,buy,buy
1.3308717407577502,buy,buy
1.317548379768409,buy,buy
1.3043583989859024,buy,buy
1.2913004631405793,buy,buy
1.2783732503301777,buy,buy
1.2655754518860025,buy,buy
1.2529057722404453,buy,buy
1.2403629287958289,buy,buy
1.227945651794565,buy,buy
1.2156526841906128,buy,buy
1.2034827815222224,buy,buy
1.1914347117859552,buy,buy
1.1795072553119619,buy,buy
1.1676992046405121,buy,buy
1.1560093643997584,buy,buy
1.1444365511847243,buy,buy
1.1329795934375044,buy,buy
1.1216373313286627,buy,buy
1.1104086166398195,buy,buy
1.0992923126474123,buy,buy
1.0882872940076223,buy,buy
1.07739244664245,buy,buy
1.0666066676269352,buy,buy
1.055928865077502,buy,buy
1.0453579580414245,buy,buy
1.034892876387398,buy,buy
1.024532560697205,buy,buy
1.0142759621584676,buy,buy
1.0041220424584714,buy,buy
0.9940697736790535,buy,buy
0.9841181381925431,buy,buy
0.9742661285587432,buy,buy
0.9645127474229432,buy,buy
0.9548570074149539,buy,buy
0.9452979310491518,buy,buy
0.935834550625525,buy,buy
0.9264659081317093,buy,buy
0.917191055146005,buy,buy
0.9080090527413651,buy,buy
0.8989189713903442,buy,buy
0.8899198908709985,buy,buy
0.8810109001737293,buy,buy
0.8721910974090574,buy,buy
0.8634595897163221,buy,buy
0.8548154931732932,buy,buy
0.8462579327066889,buy,buy
0.8377860420035884,buy,buy
0.8293989634237323,buy,buy
0.8210958479127004,buy,buy
0.8128758549159588,buy,buy
0.8047381522937676,buy,buy
0.7966819162369402,buy,buy
0.7887063311834465,buy,buy
0.7808105897358499,buy,buy
0.7729938925795726,buy,buy
0.7652554484019769,buy,buy
0.7575944738122584,buy,buy
0.7500101932621405,buy,buy
0.7425018389673625,buy,buy
0.7350686508299548,buy,buy
0.7277098763612901,buy,buy
0.7204247706059076,buy,buy
0.7132125960660975,buy,buy
0.706072622627242,buy,buy
0.6990041274839028,buy,buy
0.6920063950666491,buy,buy
0.6850787169696176,buy,buy
0.6782203918787987,buy,buy
0.6714307255010389,buy,buy
0.6647090304937558,buy,buy
0.6580546263953557,buy,buy
0.651466839556348,buy,buy
0.6449450030711489,buy,buy
0.6384884567105686,buy,buy
0.6320965468549737,buy,buy
0.6257686264281189,buy,buy
0.6195040548316412,buy,buy
0.6133021978802095,buy,buy
0.6071624277373241,buy,buy
0.6010841228517585,buy,buy
0.5950666678946371,buy,buy
0.589109453697144,buy,buy
0.5832118771888535,buy,buy
0.5773733413366803,buy,buy
0.5715932550844387,buy,buy
0.5658710332930086,buy,buy
0.5602060966810992,buy,buy
0.5545978717666065,buy,buy
0.5490457908085573,buy,buy
0.5435492917496355,buy,buy
